gene,pval,qval,log2fc,mean,zero_mean,zero_variance,FDR
NFIA,0.36125999554501764,0.5777349781823217,-0.16011830938906058,42.83407667206555,False,False,0.5777349781823217
OST4,0.0037593720598198405,0.07958771306961844,-0.30003903071964955,151.59670052877286,False,False,0.07958771306961844
SARDH,0.17293466931756118,0.39670346967305165,-0.2673127034893983,117.81272739317359,False,False,0.39670346967305165
DEK,0.6623751309779664,0.8074797106657868,0.0719650308062193,83.64856589712747,False,False,0.8074797106657868
C1orf94,0.2958931880403344,0.521420157934315,0.15923776989831767,31.31251442141649,False,False,0.521420157934315
ARFRP1,0.7011928886270138,0.8304001547789066,-0.010872256808595715,58.43335649443836,False,False,0.8304001547789066
SLC12A5,0.12160444190461399,0.3332415563627181,0.21316693150525498,36.335536770704316,False,False,0.3332415563627181
KLC2,0.027129857009108596,0.1741185377174944,0.36254531639710685,79.32303600776486,False,False,0.1741185377174944
IPO11,0.9262055959936603,0.9599810745390263,-0.0017081127701241586,44.70963399003192,False,False,0.9599810745390263
HYLS1,0.13487567747478818,0.35030946944357183,0.17494412969223008,32.73862057197384,False,False,0.35030946944357183
